577,1002
370,931
1808,929
754,852
1651,701
2253,570
787,196
1180,246
1534,1101
682,527
113,1064
2067,367
1779,576
2060,1122
1479,732
1423,506
1885,348
2087,100
2295,308
796,621
452,853
2214,698
1879,146
1607,344
778,1132
2355,106
2002,766
119,553
1101,810
846,341
1419,343
93,402
1938,475
1390,906
1192,1031
1697,218
872,753
552,134
2103,540
1106,130
1103,377
143,175
264,987
1520,413
1145,503
2318,470
365,487
1578,944
333,662
2181,378
2003,185
1599,144
2130,864
496,559
1150,927
1342,1041
967,534
1262,1132
659,917
2021,627
504,695
1700,425
1694,873
1300,338
2317,820
559,317
98,886
1524,253
1884,828
619,723
389,230
1782,1077
814,1020
1284,873
496,1131
520,427
1172,702
295,1118
908,939
168,796
195,463
1351,601
908,134
693,101
2274,1035
633,220
1015,301
1573,531
720,398
1320,733
221,262
910,1125
2119,221
1306,475
1896,1096
1819,446
1050,658
1057,1053
1464,134
695,1026
415,96
324,345
1303,81
374,774
1983,927
2221,170
975,405
1588,818
1703,79
2343,1137
914,245
2141,992
468,987
1788,741
1653,1099
268,77
1476,617
1363,222
89,279
991,776
100,703
2211,1126
2353,617
806,468
238,606
1475,990
1876,668
1016,898
268,850
751,731
1771,301
2359,941
563,862
1704,998
2233,911
907,628
1235,571
2109,739
628,1141
604,605
1006,84
436,351
1149,1135
